ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Lecane-sagula	Lecane		sagula		Harring & Myers 1926	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 22: p.365, pl.28, figs.3-4; syntype: AMNH 531 [valid as Lecane sagula; name indeclinable]
Lepadella-sali	Lepadella		sali		Bērziņš 1976	in Berzins, B, Notes on the Rotifera from Aneboda: p.8, figs.5-9; no deposited types known [valid as Lepadella sali; name indeclinable]
Colurella-salina	Colurella		salina		Althaus 1957	Wissenschaftliche Zeitschrift der Martin-Luther-Universität Halle-Wittenberg, 6: p.134, fig.25a-h; no deposited types known [valid as Colurella salina; name declinable]
Notholca-squamula-salina	Notholca		squamula	salina	Focke 1961	Kieler Meeresforschungen, 17: p.193, fig.4; no deposited types known [valid as Notholca salina; name declinable]
Encentrum-salinum	Encentrum		salinum		Dartnall 1997	Quekett Journal of Microscopy, 38: p.18, figs.2e-g; holotype: NHM 1995.382 (deteriorated) [species inquirenda; name declinable]
Lepadella-salisburii	Lepadella		salisburii		Ahlstrom 1934	Transactions of the American Microscopical Society, 53: p.259, pl.26, fig.8; no deposited types known [valid as Lepadella salisburii; name indeclinable]
Lepadella-salpina	Lepadella		salpina		Ehrenberg 1834	Physikalische Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin: p.209; no deposited types known [type species of genus Lophocharis Ehrenberg, 1838; valid as Lophocharis salpina; name declinable]
Encentrum-salsum	Encentrum		salsum		Myers 1936	Transactions of the American Microscopical Society, 55: p.429, pl.53, figs.5-7; holotype: AMNH 830 [valid as Encentrum salsum; name declinable]
Ascomorpha-saltans	Ascomorpha		saltans		Bartsch 1870	Jahreshefte des Vereins für vaterländische Naturkunde in Württemberg, 26: p.364; no deposited types known [valid as Ascomorpha saltans; name indeclinable]
Pedetes-saltator	Pedetes		saltator		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.2, p.8, pl.13, fig.10; no deposited types known [type species of genus Pedetes Gosse, 1886; valid as Filinia saltator; name indeclinable]
Macrotrachela-samali	Macrotrachela		samali		Bartoš 1948	Folia Entomologica, 11: p.20, figs.7,8; no deposited types known [valid as Macrotrachela samali; name indeclinable]
Keratella-sancta	Keratella		sancta		Russell 1944	Journal of the Royal Microscopical Society, 64: p.121, fig.1; no deposited types known [valid as Keratella sancta; name declinable]
Colurella-sanoamuangae	Colurella		sanoamuangae		Chittapun, Pholpunthin & Segers 1999	International Review of Hydrobiology, 84: p.588, figs.2-4, 7,8; holotype: PSU, no cat. nr. indicated [valid as Colurella sanoamuangae; name indeclinable]
Rotaria-saprobica	Rotaria		saprobica		Bērziņš 1955	Skrifter utgivna av Södra Sveriges Fiskeriförening, Årsskrift 1954-1955: p.32; no deposited types known [junior subjective synonym of Rotaria rotatoria (Pallas, 1766); name declinable]
Keratella-sarmatica	Keratella		sarmatica		Burckhardt 1944	Revue Suisse de Zoologie, 51: p.216, fig.6; no deposited types known [junior subjective synonym of Keratella serrulata (Ehrenberg, 1838); name declinable]
Brachionus-satanicus	Brachionus		satanicus		Rousselet 1911	Journal of the Quekett Microscopical Club, (ser. 2) 11: p.162, pl.7, fig.2; syntypes: NHM 1917.1.1.998, 1917.1.1.999, 1917.1.1.xx(illegible), ZMB 5042 [valid as Brachionus satanicus; name declinable]
Lecane-satyrus	Lecane		satyrus		Harring & Myers 1926	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 22: p.362, pl.27, figs.3-4; syntype: AMNH 111 [valid as Lecane satyrus; name indeclinable]
Taphrocampa-saundersiae	Taphrocampa		saundersiae		Hudson 1885	Journal of the Royal Microscopical Society, 5: p.614, pl.12, fig.9; no deposited types known [valid as Encentrum saundersiae; name indeclinable]
Philodina-scabra	Philodina		scabra		Milne 1916	Journal of the Quekett Microscopical Club, (ser. 2) 13: p.76, pl.6, fig.13; no deposited types known [valid as Philodina scabra; name declinable]
Habrotrocha-scabropyga	Habrotrocha		scabropyga		Bartoš 1958	Věstník Československé společnosti zoologické, 22: p.71, fig.1a-c; no deposited types known [valid as Habrotrocha scabropyga; name indeclinable]
Mniobia-scabrosa	Mniobia		scabrosa		Murray 1911	Journal of the Royal Microscopical Society, 31: p.9, pl.2, fig.10; no deposited types known [valid as Mniobia scabrosa; name declinable]
Notholca-scaphula	Notholca		scaphula		Stewart 1908	Records of the Indian Museum., 2: p.321, fig.6; no deposited types known [junior subjective synonym of Notholca squamula (Müller, 1786); name indeclinable]
Callidina-scarlatina	Callidina		scarlatina		Ehrenberg 1853	Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königlich Preußischen Akademie der Wissenschaften zu Berlin: p.529; no deposited types known [valid as Mniobia scarlatina; name indeclinable]
Habrotrocha-scepanotrochoides	Habrotrocha		scepanotrochoides		De Koning 1947	Biologisch Jaarboek (Dodonaea), 14: p.195, pl.5, fig.22; no deposited types known [valid as Habrotrocha scepanotrochoides; name indeclinable]
Glaciera-schabetsbergeri	Glaciera		schabetsbergeri		Jersabek 1999	Journal of Natural History, 33: p.179, fig.1; holotype: OÖLM HT98/1 [valid as Glaciera schabetsbergeri; name indeclinable]
Dissotrocha-schlienzi	Dissotrocha		schlienzi		Hauer 1956	Ergebnisse der deutschen limnologischen Venezuela- Expedition 1952, 1: p.289, fig.1; syntype: SMF GPRot4162 [valid as Dissotrocha schlienzi; name indeclinable]
Lecane-schraederi	Lecane		schraederi		Wulfert 1966	Limnologica (Berlin), 4: p.78, fig.32; no deposited types known [valid as Lecane schraederi; name indeclinable]
Habrotrocha-schultei	Habrotrocha		schultei		Donner 1965	in Donner, J, Ordnung Bdelloidea (Rotatoria- Rädertiere): p.77, fig.58h-k; no deposited types known [valid as Habrotrocha schultei; name indeclinable]
Brachionus-schwoerbeli	Brachionus		schwoerbeli		Koste 1988	Osnabrücker naturwissenschaftliche Mitteilungen, 14: p.105, fig.7a,c-e; holotype: SMF GPRot7316 [valid as Brachionus schwoerbeli; name indeclinable]
Mastigocerca-scipio	Mastigocerca		scipio		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.2, p.61, pl.20, fig.11; no deposited types known [valid as Trichocerca scipio; name indeclinable]
Lecane-scobis	Lecane		scobis		Harring & Myers 1926	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 22: p.329, pl.11, figs.5-6; no deposited types known [junior subjective synonym of Lecane levistyla (Olofsson, 1917); name indeclinable]
Dicranophorus-scotius	Dicranophorus		scotius		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.734, pl.34, figs.3-4; no deposited types known [valid as Dicranophorus scotius; name declinable]
Testudinella-sculpturata	Testudinella		sculpturata		Bartoš 1951	Sborník Klubu přírodovědeckého v Brně, 29: p.16, figs.23,45; no deposited types known [junior subjective synonym of Testudinella patina (Hermann, 1783); name declinable]
Cathypna-scutaria	Cathypna		scutaria		Stokes 1897	The Annals and Magazine of Natural History, (ser. 6) 19: p.631, pl.14, fig.7; no deposited types known [junior subjective synonym of Lecane leontina (Turner, 1892); name declinable]
Monostyla-scutata	Monostyla		scutata		Harring & Myers 1926	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 22: p.401, pl.40, figs.1-2; syntypes: AMNH 814 [valid as Lecane scutata; name declinable]
Dissotrocha-scutellata	Dissotrocha		scutellata		Bartoš 1950	Přírodovědný sborník, 4: p.81, fig.1; no deposited types known [valid as Dissotrocha scutellata; name declinable]
Macrotrachela-quadricornifera-scutellata	Macrotrachela		quadricornifera	scutellata	Schulte 1954	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 82: p.605, fig.31; no deposited types known [valid as Macrotrachela quadricornifera scutellata; name declinable]
Squatinella-scutellata	Squatinella		scutellata		Hauer 1936	Beiträge zur naturkundlichen Forschung in Südwestdeutschland, 1: p.147, pl.2, fig.14a-d; no deposited types known [junior subjective synonym of Squatinella lamellaris (Müller, 1786); name declinable]
Dicranophorus-sebastus	Dicranophorus		sebastus		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.738, pl.35, figs.1-2; no deposited types known [valid as Dicranophorus sebastus; name declinable]
Dicranophorus-secretus	Dicranophorus		secretus		Donner 1951	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 79: p.636, fig.24; neotype: MNHNP AM880 [valid as Aspelta secreta; name declinable]
Macrotrachela-zickendrahti-seda	Macrotrachela		zickendrahti	seda	Donner 1965	in Donner, J, Ordnung Bdelloidea (Rotatoria- Rädertiere): p.110, fig.81e-g; no deposited types known [valid as Macrotrachela zickendrahti seda; name indeclinable]
Cephalodella-segersi	Cephalodella		segersi		De Smet 1998	Hydrobiologia, 367: p.1, figs.1-14; holotype: RBINS RIR0128-IG28524 [valid as Cephalodella segersi; name indeclinable]
Lecane-segersi	Lecane		segersi		Sanoamuang 1996	Hydrobiologia, 339: p.23, figs.1-3; holotype: KKU, no cat. nr. indicated [valid as Lecane segersi; name indeclinable]
Claria-segmentata	Claria		segmentata		Kutikova, Markevich & Spiridonov 1990	Kolovratki. Materialy Tretjego Vsesojuznogo Simpoziuma: p.120, figs.1-3; holotype: ZIN-RAS N 54970; placed on the Official List of Specific Names in Zoology, Code Op. 2032: specific name of the type species of Claria Kutikova, Markevich & Spiridonov, 1990 [valid as Claria segmentata; name declinable]
Proales-segnis	Proales		segnis		Myers 1938	American Museum Novitates, 1011: p.3, figs.1,4,7,11,15,16; holotype: AMNH 918 [valid as Proales segnis; name declinable]
Proalinopsis-selene	Proalinopsis		selene		Myers 1933	American Museum Novitates, 660: p.14, fig.9; syntypes: AMNH 658 [valid as Proalinopsis selene; name indeclinable]
Taphrocampa-selenura	Taphrocampa		selenura		Gosse 1887	Journal of the Royal Microscopical Society, 7: p.1, pl.1, fig.1; no deposited types known [valid as Taphrocampa selenura; name indeclinable]
Diaschiza-semiaperta	Diaschiza		semiaperta		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.2, p.80, pl.22, fig.10; no deposited types known [junior subjective synonym of Cephalodella gibba (Ehrenberg, 1830); name declinable]
Megalotrocha-semibullata	Megalotrocha		semibullata		Thorpe 1889	Journal of the Royal Microscopical Society, 9: p.614, pl.12, figs.A-G; no deposited types known [valid as Sinantherina semibullata; name declinable]
Euchlanis-semicarinata	Euchlanis		semicarinata		Segers 1993	Hydrobiologia, 250: p.47, fig.8; holotype: RMCA 0803 [valid as Euchlanis semicarinata; name declinable]
Metopidia-semicarinata	Metopidia		semicarinata		Lucks 1909	Bericht des Westpreussischen Botanisch-Zoologischen Vereins, 31: p.141; no deposited types known [junior subjective synonym of Lepadella cristata (Rousselet, 1893); name declinable]
Brachionus-urceolaris-semicircularis	Brachionus		urceolaris	semicircularis	Sudzuki 1989	in Sudzuki, M, Rotifera from the oriental region and their characteristics: p.337, fig.6; holotype: BLND Rot.5801030101041 [junior subjective synonym of nominotypical taxon; name declinable]
Ptygura-seminatans	Ptygura		seminatans		Edmondson 1939	Transactions of the American Microscopical Society, 58: p.464, figs.18-20,34; no deposited types known [valid as Ptygura seminatans; name indeclinable]
Testudinella-semiparva	Testudinella		semiparva		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.559, fig.83a; syntype: SMF GPRot2430 [valid as Testudinella parva semiparva; name declinable]
Encentrum-semiplicatum	Encentrum		semiplicatum		Wulfert 1936	Archiv für Hydrobiologie, 30: p.430, fig.23; no deposited types known [valid as Encentrum semiplicatum; name declinable]
Scepanotrocha-semitecta	Scepanotrocha		semitecta		Donner 1951	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 79: p.623, fig.10; no deposited types known [valid as Scepanotrocha semitecta; name declinable]
Dicranophorus-semnus	Dicranophorus		semnus		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.720, pl.29, figs.5-6; no deposited types known [valid as Dicranophorus semnus; name declinable]
Brachionus-bidentatus-senegalensis	Brachionus		bidentatus	senegalensis	Koste & De Ridder 1985	Hydrobiologia, 120: p.50, fig.3; no deposited types known [valid as Brachionus bidentatus senegalensis; name declinable]
Vorticella-senta	Vorticella		senta		Müller 1773	in Müller, O F, Vermium terrestrium et fluviatilium, seu animalium infusoriorum, helminthicorum et testaceorum, non marinorum, succincta historia. Infusoria: p.109; no deposited types known [type species of genus Hydatina Ehrenberg, 1830; valid as Epiphanes senta; name declinable]
Lepadella-acuminata-septemcostata	Lepadella		acuminata	septemcostata	Bērziņš 1982	Limnologiska institutionen, Lunds universitet: p.10, fig.12; no deposited types known [valid as Lepadella acuminata septemcostata; name declinable]
Dissotrocha-aculeata-serangodes	Dissotrocha		aculeata	serangodes	Bērziņš 1982	Limnologiska institutionen, Lunds universitet: p.3, fig.3; no deposited types known [valid as Dissotrocha aculeata serangodes; name indeclinable]
Dinocharis-serica	Dinocharis		serica		Thorpe 1893	Journal of the Royal Microscopical Society, 13: p.152, pl.2, fig.4; no deposited types known [valid as Macrochaetus sericus; name declinable]
Brachionus-sericus	Brachionus		sericus		Rousselet 1907	Journal of the Quekett Microscopical Club, (ser. 2) 10: p.147, pl.11, figs.1-5; syntypes: NHM 1917.1.1.1058 (deteriorated), 1917.1.1.1059, 1935.4.27.309, ZMB 4268 [valid as Brachionus sericus; name declinable]
Habrotrocha-serpens	Habrotrocha		serpens		Donner 1949	Österreichische Zoologische Zeitschrift, 2: p.130, fig.10; no deposited types known [valid as Habrotrocha serpens; name indeclinable]
Oecistes-serpentinus	Oecistes		serpentinus		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.1, p.80, pl.9, fig.1; no deposited types known [junior subjective synonym of Ptygura melicerta Ehrenberg, 1832; name declinable]
Cephalodella-serrata	Cephalodella		serrata		Wulfert 1937	Archiv für Hydrobiologie, 31: p.609, fig.19; no deposited types known [valid as Cephalodella serrata; name declinable]
Monostyla-serrata	Monostyla		serrata		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.544, fig.66; syntype: SMF GPRot2894 [valid as Lecane serrata; name declinable]
Anuraea-serrulata	Anuraea		serrulata		Ehrenberg 1838	in Ehrenberg, C G, Die Infusionsthierchen als vollkommene Organismen. Ein Blick in das tiefere organische Leben der Natur: p.508, pl.62, fig.13; no deposited types known [valid as Keratella serrulata; name declinable]
Callidina-serrulata	Callidina		serrulata		Murray 1911	Journal of the Royal Microscopical Society, 31: p.170, pl.5, fig.7; no deposited types known [valid as Macrotrachela serrulata; name declinable]
Brachionus-sessilis	Brachionus		sessilis		Varga 1951	Annales Instituti Biologici (Tihany) Hungaricae Academiae Scientarium, 20: p.217, figs.1-7; no deposited types known [valid as Brachionus sessilis; name declinable]
Mastigocerca-setifera	Mastigocerca		setifera		Lauterborn 1893	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 7: p.271; no deposited types known [junior subjective synonym of Trichocerca cylindrica (Imhof, 1891); name declinable]
Mniobia-setifera	Mniobia		setifera		Bartoš 1944	Folia Entomologica, 7: p.122, figs.8,9; no deposited types known [valid as Mniobia setifera; name declinable]
Scepanotrocha-setifera	Scepanotrocha		setifera		Haigh 1963	Journal of the Quekett Microscopical Club, 29: p.167, fig.3E-I; no deposited types known [valid as Scepanotrocha setifera; name declinable]
Lepadella-acuminata-sexcostata	Lepadella		acuminata	sexcostata	Bartoš 1955	Časopis Národního musea, oddíl přírodovědný, 124: p.39, fig.5G; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Monostyla-sexidentata	Monostyla		sexidentata		Van Oye 1926	Bulletin de la Société Zoologique de France, 51: p.50, fig.2; no deposited types known [junior subjective synonym of Lecane quadridentata (Ehrenberg, 1830); name declinable]
Salpina-shape	Salpina		shape		Stewart 1908	Records of the Indian Museum., 2: p.319, fig.4; no deposited types known [junior subjective synonym of Mytilina brevispina (Ehrenberg, 1830); name indeclinable]
Limnias-shiawasseensis	Limnias		shiawasseensis		Kellicott 1888	Proceedings of the American Society of Microscopists, 10: p.86, text-fig.; no deposited types known [valid as Limnias shiawasseensis; name declinable]
Keratella-shieli	Keratella		shieli		Koste 1979	Australian Journal of Marine and Freshwater Research, 30: p.246, fig.23; holotype: KC Genus Keratella, No. 52 [valid as Keratella shieli; name indeclinable]
Lecane-shieli	Lecane		shieli		Segers & Sanoamuang 1994	Belgian Journal of Zoology, 124: p.40, fig.3; holotype: RBINS RIR0035-IG28055 [valid as Lecane shieli; name indeclinable]
Trichocerca-siamensis	Trichocerca		siamensis		Segers & Pholpunthin 1997	Annales de Limnologie. International Journal of Limnology, 33: p.19, figs.16-22; holotype: RBINS RIR0070-IG28331 [valid as Trichocerca siamensis; name declinable]
Lecane-sibina	Lecane		sibina		Harring 1914	Proceedings of the United States National Museum, 47: p.535, pl.23, figs.5-7; holotype: USNM 16582 [junior subjective synonym of Lecane ungulata (Gosse, 1887); name indeclinable]
Notommata-sieboldii	Notommata		sieboldii		Leydig 1854	Zeitschrift für wissenschaftliche Zoologie, 6: p.24, pl.2, figs.12-20; no deposited types known [type species of genus Apus Schoch, 1868; valid as Asplanchna sieboldii; name indeclinable]
Dicranophorus-siedleckii	Dicranophorus		siedleckii		Wiszniewski 1953	Polskie Archiwum Hydrobiologii, 1: p.34, fig.7; no deposited types known [valid as Dicranophorus siedleckii; name indeclinable]
Pleurotrocha-sigmoidea	Pleurotrocha		sigmoidea		Skorikov 1896	Travaux de la Société des Naturalistes de Charkow, 30: p.284, pl.7, fig.8; no deposited types known [valid as Pleurotrocha sigmoidea; name declinable]
Cephalodella-gracilis-sigmoides	Cephalodella		gracilis	sigmoides	Wulfert 1951	Archiv für Hydrobiologie, 44: p.454, fig.5; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
Dicranophorus-sigmoides	Dicranophorus		sigmoides		Wulfert 1951	Archiv für Hydrobiologie, 44: p.460, fig.9; no deposited types known [valid as Dicranophorus sigmoides; name indeclinable]
Lepadella-rhomboides-signiensis	Lepadella		rhomboides	signiensis	Dartnall & Hollowday 1985	in Dartnall, H J G & E D Hollowday, Antarctic rotifers: p.13, fig.10h-j; syntypes: NHM 1985.2454-2455 [species inquirenda; name declinable]
Distyla-signifera	Distyla		signifera		Jennings 1896	Bulletin of the Michigan Fish Commission, 6: p.8, figs.1,2; no deposited types known [valid as Lecane signifera; name declinable]
Diglena-silpha	Diglena		silpha		Gosse 1887	Journal of the Royal Microscopical Society, 7: p.2, pl.1, fig.2; no deposited types known [valid as Notommata silpha; name indeclinable]
Notommata-silphoides	Notommata		silphoides		Beauchamp 1923	Annales de Biologie Lacustre, 12: p.221, figs.A-E; no deposited types known [valid as Notommata silphoides; name indeclinable]
Asplanchna-silvestrii	Asplanchna		silvestrii		Daday 1902	Természetrajzi Füzetek kiadja a Magyar nemzeti Múzeum, 25: p.438, fig.1; no deposited types known [valid as Asplanchna silvestrii; name indeclinable]
Brachionus-similis	Brachionus		similis		Leissling 1914	Archiv für Hydrobiologie, 9: p.253, fig.1; no deposited types known [junior subjective synonym of Brachionus budapestinensis Daday, 1885; name declinable]
Coelopus-similis	Coelopus		similis		Wierzejski 1893	Rozprawy Akademii Umiejętności w Krakowie, Wydział Matematyczno-Przyrodniczy, 6/2: p.235, pl.2, fig.43; no deposited types known [valid as Trichocerca similis; name declinable]
Dinocharis-similis	Dinocharis		similis		Stenroos 1898	Acta Societatis pro Fauna et Flora Fennica, 17: p.151, pl.3, fig.7; no deposited types known [valid as Trichotria tetractis similis; name declinable]
Lecane-similis	Lecane		similis		Russell 1959	Transactions of the Royal Society of New Zealand, 87: p.72, fig.2; holotype: CMNZ 130 [species inquirenda; name declinable]
Metopidia-similis	Metopidia		similis		Lucks 1912	in Lucks, R, Zur Rotatorienfauna Westpreußens: p.119, fig.39; no deposited types known; permanently invalid: preoccupied by Metopidia similis Stokes, 1896 (ex Metopidia collaris var. similis Stokes), replaced by Lepadella persimilis De Ridder, 1961 [name declinable]
Metopidia-collaris-similis	Metopidia		collaris	similis	Stokes 1896	The Annals and Magazine of Natural History, (ser. 6) 18: p.20, pl.7, fig.5; no deposited types known [junior subjective synonym of Lepadella patella oblonga (Ehrenberg, 1834); name declinable]
Pleuretra-similis	Pleuretra		similis		Bartoš 1963	Věstník Československé společnosti zoologické, 27: p.38, pl.1, figs.E,F,CH,I,J; no deposited types known [valid as Pleuretra similis; name declinable]
Proales-similis	Proales		similis		Beauchamp 1907	Bulletin de la Société Zoologique de France, 32: p.153, fig.2; no deposited types known [valid as Proales similis; name declinable]
Pseudoharringia-similis	Pseudoharringia		similis		Fadeev 1925	Russkij Gidrobiologicheskij Zhurnal, 4: p.73, pl.1, figs.3-7; no deposited types known [type species of genus Pseudoharringia Fadeev, 1925; valid as Pseudoharringia similis; name declinable]
Salpina-similis	Salpina		similis		Stokes 1896	The Annals and Magazine of Natural History, (ser. 6) 18: p.24, pl.8, figs.14-18; no deposited types known [junior subjective synonym of Mytilina ventralis(Ehrenberg, 1830); name declinable]
Squatinella-similis	Squatinella		similis		Wulfert 1960	Archiv für Hydrobiologie, 56: p.327, fig.55; no deposited types known [junior subjective synonym of Squatinella lamellaris (Müller, 1786); name declinable]
Encentrum-simillimum	Encentrum		simillimum		Remane 1929	in Remane, A, Rotatoria: p.151; no deposited types known [valid as Encentrum simillimum; name declinable]
Trichocerca-simoneae	Trichocerca		simoneae		De Smet 1990	Biologisch Jaarboek (Dodonaea), 57: p.70, pl.4, fig.4; no deposited types known [valid as Trichocerca simoneae; name indeclinable]
Lecane-simonneae	Lecane		simonneae		Segers 1993	Hydrobiologia, 250: p.55, fig.16; holotype: RMCA 0815 [valid as Lecane simonneae; name indeclinable]
Cephalodella-tenuiseta-simplex	Cephalodella		tenuiseta	simplex	Bērziņš 1976	in Berzins, B, Notes on the Rotifera from Aneboda: p.15, figs.28-31; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
Dissotrocha-aculeata-simplex	Dissotrocha		aculeata	simplex	Bērziņš 1982	Limnologiska institutionen, Lunds universitet: p.4, fig.9; no deposited types known [valid as Dissotrocha aculeata simplex; name indeclinable]
Scepanotrocha-simplex	Scepanotrocha		simplex		De Koning 1947	Biologisch Jaarboek (Dodonaea), 14: p.186, pl.1, fig.2; no deposited types known [valid as Scepanotrocha simplex; name indeclinable] sinensis, Keratella, Segers & Wang 1997; Hydrobiologia, 344: p.163, figs.1-13; holotype + allotype: RBINS RIR0065-IG28332 [valid as Keratella sinensis; name declinable]
Anuraeopsis-lata-singapurensis	Anuraeopsis		lata	singapurensis	Sudzuki 1989	in Sudzuki, M, Rotifera from the oriental region and their characteristics: p.336, fig.2; holotype: BLND Rot.580103010432 [species inquirenda; name declinable]
Brachionus-caudatus-singapurensis	Brachionus		caudatus	singapurensis	Sudzuki 1989	in Sudzuki, M, Rotifera from the oriental region and their characteristics: p.337, fig.5; holotype: BLND Rot.5801030101034 [junior subjective synonym of nominotypical taxon; name declinable]
Macrochaetus-hauerianus-singapurensis	Macrochaetus		hauerianus	singapurensis	Sudzuki 1989	in Sudzuki, M, Rotifera from the oriental region and their characteristics: p.338, fig.7; holotype: BLND Rot.580103050201 [junior subjective synonym of Macrochaetus longipes Myers, 1934; name declinable]
Colurella-sinistra	Colurella		sinistra		Carlin 1939	Meddelanden Lunds Universitets Limnologiska Institution, 2: p.11, fig.2d,g; Holotype: Lund, no cat. nr. indicated [valid as Colurella sinistra; name declinable]
Lepadella-lata-sinuata	Lepadella		lata	sinuata	Wiszniewski 1939	Archives d'Hydrobiologie et d'Ichthyologie, 12: p.137, fig.4b,c; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Monostyla-sinuata	Monostyla		sinuata		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.545, fig.67; no deposited types known [valid as Lecane sinuata; name declinable]
Anuraeopsis-siolii	Anuraeopsis		siolii		Koste 1972	Amazoniana, 3: p.362, pl.1, fig.4, pl.2, figs.a-d; lectotype: INPA 002 [valid as Anuraeopsis siolii; name indeclinable]
Asplanchna-priodonta-sirakabana	Asplanchna		priodonta	sirakabana	Sudzuki 1964	Hydrobiologia, 23: p.18,77, pl.25, fig.4; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Keratella-valga-slacki	Keratella		valga	slacki	Bērziņš 1963	Hydrobiologia, 21: p.382, fig.2; no deposited types known [valid as Keratella slacki; name indeclinable]
Macrotrachela-smithi	Macrotrachela		smithi		Milne 1916	Journal of the Quekett Microscopical Club, (ser. 2) 13: p.151, pl.10, fig.2; no deposited types known [valid as Macrotrachela smithi; name indeclinable]
Collotheca-cucullata-smolandica	Collotheca		cucullata	smolandica	Bērziņš 1951	Arkiv för Zoologi, (ser. 2) 1: p.571, figs.12,13; no deposited types known [valid as Collotheca cucullata smolandica; name declinable]
Hexarthra-polyodonta-soaplakeiensis	Hexarthra		polyodonta	soaplakeiensis	Koste 1977	Gewässer und Abwässer, 62/63: p.12, figs.2,3; no deposited types known [valid as Hexarthra polyodonta soaplakeiensis; name declinable]
Callidina-socialis	Callidina		socialis		Kellicott 1888	Proceedings of the American Society of Microscopists, 10: p.91; no deposited types known [valid as Rotaria socialis; name declinable]
Hydra-socialis	Hydra		socialis		Linnæus 1758	in Linnæus, C, Systema naturæ per regna tria naturæ, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Editio decimo reformata: p.817; no deposited types known [type species of genus Sinantherina Bory de St. Vincent, 1826; valid as Sinantherina socialis; name declinable]
Limnias-socialis	Limnias		socialis		Leidy 1874	Proceedings of the Academy of Natural Sciences of Philadelphia, 26: p.140; no deposited types known [junior subjective synonym of Limnias ceratophylli Schrank, 1803; name declinable]
Megalotrocha-socialis	Megalotrocha		socialis		Bory de St. Vincent 1826	in Bory De Saint Vincent, J B G M M, Essai d'une classification des animaux microscopiques: p.76; no deposited types known [type species of genus Megalotrocha Bory de Saint Vincent, 1826; unnecessary substitute name for Vorticella flosculosa Müller, 1773; name declinable]
Melicerta-socialis	Melicerta		socialis		Collins 1872	Science Gossip, London, 8: p.9, figs.3,4; no deposited types known [junior subjective synonym of Ptygura pilula (Cubitt, 1872); name declinable]
Oecistes-socialis	Oecistes		socialis		Weber 1888	Archives de Biologie, 8: p.655, pl.28, figs.1-4; no deposited types known [preoccupied as Ptygura socialis (Weber, 1888) non (Collins, 1872); junior subjective synonym of Ptygura melicerta Ehrenberg, 1832; name declinable]
Lecane-sola	Lecane		sola		Hauer 1936	Zoologischer Anzeiger, 116: p.79, fig.3; syntype: SMF GPRot2964 [valid as Lecane sola; name declinable]
Monostyla-solfatara	Monostyla		solfatara		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.546, fig.68; syntypes: SMF GPRot1970, GPRot2444 [valid as Lecane solfatara; name indeclinable]
Habrotrocha-solida	Habrotrocha		solida		Donner 1949	Österreichische Zoologische Zeitschrift, 2: p.132, fig.11; no deposited types known [valid as Habrotrocha solida; name declinable]
Metopidia-solida	Metopidia		solida		Gosse 1851	The Annals and Magazine of Natural History, (ser. 2) 8: p.201; no deposited types known [junior subjective synonym of Lepadella ovalis (Müller, 1786); name declinable]
Habrotrocha-solitaria	Habrotrocha		solitaria		Donner 1949	Österreichische Zoologische Zeitschrift, 2: p.139, fig.16; no deposited types known [valid as Habrotrocha solitaria; name declinable]
Habrotrocha-sollicita	Habrotrocha		sollicita		Donner 1949	Österreichische Zoologische Zeitschrift, 2: p.133, fig.12; no deposited types known [valid as Habrotrocha sollicita; name declinable]
