ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Cephalodella-akrobeles	Cephalodella		akrobeles		Myers 1934	American Museum Novitates, 699: p.11, fig.12; syntype: AMNH 684 [valid as Cephalodella akrobeles; name indeclinable]
Lepadella-akrobeles	Lepadella		akrobeles		Myers 1934	American Museum Novitates, 760: p.5, figs.16-18; syntypes: ANSP 0488, AMNH 723 [valid as Lepadella akrobeles; name indeclinable]
Habrotrocha-alacris	Habrotrocha		alacris		Milne 1916	Journal of the Quekett Microscopical Club, (ser. 2) 13: p.162, pl.12, fig.14; no deposited types known [valid as Habrotrocha alacris; name declinable]
Lepadella-deridderae-alaskae	Lepadella		deridderae	alaskae	Segers, De Smet & Bonte 1996	Belgian Journal of Zoology, 126: p.119, figs.6-10; holotype: RBINS RIR0129-IG28397 [valid as Lepadella deridderae alaskae; name indeclinable]
Aspelta-alastor	Aspelta		alastor		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, Arts and Letters, 23: p.793, pl.47, figs.3-4; no deposited types known [valid as Aspelta alastor; name indeclinable]
Euchlanis-alata	Euchlanis		alata		Voronkov 1912	Annuaire du Musée Zoologique de l’Académie Impériale des Sciences de St.-Pétersbourg, 16: p.210, figs.2-3; no deposited types known [valid as Euchlanis alata; name declinable]
Philodina-alata	Philodina		alata		Murray 1910	British Antarctic Expedition 1907-9, under the command of Sir E.H. Shackleton, c.v.o. Reports on the scientific investigations, 1: p.46, pl.10, fig.4; no deposited types known [valid as Philodina alata; name declinable]
Megalotrocha-alba	Megalotrocha		alba		Ehrenberg 1830	in Ehrenberg, C G, Organisation, Systematik und geographisches Verhältnis der Infusionsthierchen. Zwei Vorträge in der Akademie der Wissenschaften zu Berlin gehalten in den Jahren 1828 [Die geographische Verbreitung der Infusionsthierchen in Nord-Afrika und West-Asien, beobachtet auf Hemprich und Ehrenbergs Reisen] und 1830 [Beiträge zur Kenntnis der Organisation der Infusorien und ihrer geographischen Verbreitung, besonders in Sibirien]: p.65; no deposited types known [junior subjective synonym of Sinantherina socialis (Linnæus, 1758); name declinable]
Proales-alba	Proales		alba		Wulfert 1939	Archiv für Hydrobiologie, 35: p.595, fig.11; no deposited types known [valid as Proales alba; name declinable]
Megalotrocha-alboflavicans	Megalotrocha		alboflavicans		Ehrenberg 1838	in Ehrenberg, C G, Die Infusionsthierchen als vollkommene Organismen. Ein Blick in das tiefere organische Leben der Natur: p.397 (sub Megalotrocha alboflavicans), pl.44, fig.3 (sub Megalotrocha flavicans); no deposited types known [junior subjective synonym of Sinantherina socialis (Linnæus, 1758); name indeclinable]
Metopidia-albuferensis	Metopidia		albuferensis		Arévalo 1918	Anales del Instituto General Técnico de Valencia, 8: p.36, fig.25; no deposited types known [junior subjective synonym of Lepadella ehrenbergii (Perty, 1850); name declinable]
